team, founded, last active, years active, max possible years, ratio
1,1997,2016,20,20,1.0
4,1997,2016,11,20,0.55
5,1998,2008,11,19,0.5789473684210527
6,1994,2003,10,23,0.43478260869565216
7,1997,2012,16,20,0.8
8,1996,2016,21,21,1.0
9,1998,2008,11,19,0.5789473684210527
10,1998,2002,4,19,0.21052631578947367
11,1997,2016,20,20,1.0
13,1997,1998,2,20,0.1
14,1995,1998,4,22,0.18181818181818182
15,1997,2000,3,20,0.15
16,1996,2016,20,21,0.9523809523809523
17,2008,2008,1,9,0.1111111111111111
18,1997,1998,2,20,0.1
19,1992,2005,11,25,0.44
20,1992,2016,20,25,0.8
21,1998,2016,19,19,1.0
22,1997,2006,10,20,0.5
23,1995,2013,7,22,0.3181818181818182
24,1997,1998,2,20,0.1
25,1997,2016,20,20,1.0
27,1997,2016,20,20,1.0
28,1996,2016,21,21,1.0
29,1998,1998,1,19,0.05263157894736842
30,1998,2004,7,19,0.3684210526315789
31,1997,2016,20,20,1.0
33,1996,2016,21,21,1.0
34,1997,2016,20,20,1.0
35,1997,2004,4,20,0.2
37,1996,2001,5,21,0.23809523809523808
38,1998,2006,9,19,0.47368421052631576
39,1998,2010,5,19,0.2631578947368421
40,1998,2011,14,19,0.7368421052631579
41,1997,2016,20,20,1.0
42,1995,2008,13,22,0.5909090909090909
45,1992,2016,25,25,1.0
46,1998,2009,2,19,0.10526315789473684
47,1996,2009,14,21,0.6666666666666666
48,1998,2016,19,19,1.0
49,1998,2011,14,19,0.7368421052631579
51,1996,2016,7,21,0.3333333333333333
52,1997,1998,2,20,0.1
53,1998,2016,17,19,0.8947368421052632
55,1995,2000,3,22,0.13636363636363635
56,1997,2016,20,20,1.0
57,1998,2016,19,19,1.0
58,1996,2016,21,21,1.0
59,1997,2016,18,20,0.9
60,1997,2016,20,20,1.0
61,1995,2015,21,22,0.9545454545454546
62,2000,2000,1,17,0.058823529411764705
63,1997,2016,20,20,1.0
64,1998,2005,8,19,0.42105263157894735
65,1997,2009,13,20,0.65
66,1998,2016,19,19,1.0
67,1997,2016,20,20,1.0
68,1998,2016,19,19,1.0
69,1998,2016,21,19,1.105263157894737
70,1998,2016,19,19,1.0
71,1996,2016,21,21,1.0
73,1995,2016,19,22,0.8636363636363636
74,1995,2016,22,22,1.0
75,1996,2016,20,21,0.9523809523809523
77,1998,1998,1,19,0.05263157894736842
78,1996,2016,7,21,0.3333333333333333
79,1998,2016,19,19,1.0
80,1994,2005,11,23,0.4782608695652174
81,1994,2016,23,23,1.0
84,1998,2010,14,19,0.7368421052631579
85,1996,2016,21,21,1.0
86,1998,2016,19,19,1.0
87,1997,2016,20,20,1.0
88,1996,2016,21,21,1.0
89,1997,2001,5,20,0.25
90,1995,1995,1,22,0.045454545454545456
92,1997,2005,9,20,0.45
93,1997,2016,20,20,1.0
94,1998,2016,19,19,1.0
95,1997,2016,20,20,1.0
96,1997,2006,10,20,0.5
97,1996,2016,20,21,0.9523809523809523
98,1994,1994,1,23,0.043478260869565216
100,1998,2016,20,19,1.0526315789473684
101,1997,2016,20,20,1.0
102,1998,2016,19,19,1.0
103,1997,2016,20,20,1.0
104,1998,2009,12,19,0.631578947368421
105,1996,2002,7,21,0.3333333333333333
106,1997,2001,5,20,0.25
107,1997,2016,20,20,1.0
108,1995,2016,22,22,1.0
109,1996,2002,6,21,0.2857142857142857
111,1996,2016,22,21,1.0476190476190477
112,1998,2002,5,19,0.2631578947368421
114,1997,2016,20,20,1.0
115,1998,2016,19,19,1.0
116,1996,2016,21,21,1.0
117,1998,2016,19,19,1.0
118,1997,2016,20,20,1.0
120,1995,2016,21,22,0.9545454545454546
121,1996,2016,21,21,1.0
122,1997,2016,20,20,1.0
123,1997,2016,20,20,1.0
124,1996,2001,6,21,0.2857142857142857
125,1998,2016,19,19,1.0
126,1992,2016,25,25,1.0
127,2000,2000,1,17,0.058823529411764705
128,1997,2016,20,20,1.0
130,1997,1997,1,20,0.05
131,1995,2016,23,22,1.0454545454545454
132,1998,2001,4,19,0.21052631578947367
133,1997,2016,20,20,1.0
134,1997,2012,15,20,0.75
135,1998,2016,19,19,1.0
136,1997,2016,20,20,1.0
138,1996,2016,20,21,0.9523809523809523
140,1997,2004,8,20,0.4
141,1995,2016,22,22,1.0
144,1994,2016,16,23,0.6956521739130435
145,1997,2016,20,20,1.0
146,1995,2000,5,22,0.22727272727272727
147,1997,2004,8,20,0.4
